Nutrient_Group_EN,Nutrient_Group_FR,Nutrient_Code,Nutrient_Symbol,Nutrient_Name_EN,Nutrient_Name_FR,Nutrient unit,Display order for web tool (do not publish this info),Nutrient (unit)_EN,Nutrient (unit)_FR
Lipids,Acides gras (lipides),662,16:1t,"Fatty acids, monounsaturated, 16:1t, hexadecenoic","acides gras monoinsaturés, 16:1t, hexadécénoïque",g,150,16:1t (g),16:1t (g)
Lipids,Acides gras (lipides),663,18:1t,"Fatty acids, monounsaturated, 18:1t, octadecenoic","acides gras monoinsaturés, 18:1t, octadécénoïque",g,151,18:1t (g),18:1t (g)
Lipids,Acides gras (lipides),664,22:1t,"Fatty acids, monounsaturated, 22:1t, docosenoic","acides gras monoinsaturés, 22:1t, docosénoïque",g,160,22:1t (g),22:1t (g)
Lipids,Acides gras (lipides),665,18:2t,"Fatty acids, polyunsaturated, 18:2t not further defined, linoleic, octadecadienoic","acides gras polyinsaturés, 18:2t non défini plus précisément, linoléique, octadécadiénoïque ",g,161,18:2t (g),18:2t (g)
Lipids,Acides gras (lipides),666,18:2i,"Fatty acids, polyunsaturated, 18:2i, linoleic, octadecadienoic","acides gras polyinsaturés, 18:2i, linoléique, octadécadiénoïque",g,164,18:2i (g),18:2i (g)
Lipids,Acides gras (lipides),669,"18:2t,t","Fatty acids, polyunsaturated, 18:2t,t , octadecadienenoic","acides gras polyinsaturés, 18:2t,t, octadécadiénoïque",g,163,"18:2t,t (g)","18:2t,t (g)"
Lipids,Acides gras (lipides),670,18:2cla,"Fatty acids, polyunsaturated, conjugated, 18:2 cla, linoleic, octadecadienoic","acides gras polyinsaturés conjugués, 18:2 cla, linoléique, octadécadiénoïque",g,129,18:2 cla (g),18:2 cla (g)
Lipids,Acides gras (lipides),671,24:1c,"Fatty acids, monounsaturated, 24:1c, tetracosenoic","acides gras monoinsaturés, 24:1c, tétracosénoïque",g,122,24:1c (g),24:1c (g)
Lipids,Acides gras (lipides),672,20:2cc,"Fatty acids, polyunsaturated, 20:2 c,c  eicosadienoic","acides gras polyinsaturés, 20:2 c,c eïcosadiénoïque",g,134,"20:2 c,c (g)","20:2 c,c (g)"
Lipids,Acides gras (lipides),673,16:1c,"Fatty acids, monounsaturated, 16:1c, hexadecenoic","acides gras monoinsaturés, 16:1c, hexadécénoïque",g,106,16:1c (g),16:1c (g)
Lipids,Acides gras (lipides),674,18:1c,"Fatty acids, monounsaturated, 18:1c, octadecenoic","acides gras monoinsaturés, 18:1c, octadécénoïque",g,109,18:1c (g),18:1c (g)
Lipids,Acides gras (lipides),675,18:2ccn-6,"Fatty acids, polyunsaturated, 18:2 c,c n-6,  linoleic, octadecadienoic","acides gras polyinsaturés, 18:2 c,c n-6, linoléique, octadécadiénoïque",g,125,"18:2 c,c n-6 (g)","18:2 c,c n-6 (g)"
Lipids,Acides gras (lipides),676,22:1c,"Fatty acids, monounsaturated, 22:1c, docosenoic","acides gras monoinsaturés, 22:1c, docosénoïque",g,120,22:1c (g),22:1c (g)
Lipids,Acides gras (lipides),685,18:3cccn-6,"Fatty acids, polyunsaturated, 18:3 c,c,c n-6, g-linolenic, octadecatrienoic","acides gras polyinsaturés, 18:3 c,c,c n-6, g-linolénique, octadécatriénoïque",g,132,"18:3 c,c,c n-6 (g)","18:3 c,c,c n-6 (g)"
Lipids,Acides gras (lipides),687,17:01,"Fatty acids, monounsaturated, 17:1, heptadecenoic","acides gras monoinsaturés, 17:1, heptadécénoïque",g,107,17:1 (g),17:1 (g)
Lipids,Acides gras (lipides),689,20:3undiff,"Fatty acids, polyunsaturated, 20:3, eicosatrienoic","acides gras polyinsaturés, 20:3non différencié, eïcosatriénoïque",g,135,20:3 (g),20:3 (g)
Lipids,Acides gras (lipides),693,TRMO,"Fatty acids, total trans-monoenoic",acides gras trans monoénoïques totaux,g,149,Total Trans-Monoenoic Fatty Acids (g),Acides gras trans monoénoïques totaux (g)
Lipids,Acides gras (lipides),695,TRPO,"Fatty acids, total trans-polyenoic",acides gras trans polyénoïques totaux,g,161,Total Trans-Polyenoic Fatty Acids (g),Acides gras trans polyénoïques totaux (g)
Lipids,Acides gras (lipides),696,13:00,"Fatty acids, saturated, 13:0 tridecanoic","acides gras saturés, 13:0, tridécanoïque",g,92,13:0 (g),13:0 (g)
Lipids,Acides gras (lipides),697,15:01,"Fatty acids, monounsaturated, 15:1, pentadecenoic","acides gras monoinsaturés, 15:1, pentadécénoïque",g,104,15:1 (g),15:1 (g)
Lipids,Acides gras (lipides),851,18:3cccn-3,"Fatty acids, polyunsaturated, 18:3 c,c,c n-3  linolenic, octadecatrienoic","acides gras polyinsaturés, 18:3 c,c,c  n-3, linolénique, octadécatriénoïque",g,131,"18:3 c,c,c n-3 (g)","18:3 c,c,c n-3 (g)"
Lipids,Acides gras (lipides),852,20:3n-3,"Fatty acids, polyunsaturated, 20:3 n-3 eicosatrienoic","acides gras polyinsaturés, 20:3 n-3,  eïcosatriénoïque",g,136,20:3 n-3 (g),20:3 n-3 (g)
